symbol,date,expiry,put_option_type,strike,put_open,put_high,put_low,put_close,put_ltp,put_settle_price,put_no_of_contracts,put_turnover_in_lacs_option,put_premium_turnover_in_lacs,put_open_interest,put_change_in_oi,call_option_type,call_open,call_high,call_low,call_close,call_ltp,call_settle_price,call_no_of_contracts,call_turnover_in_lacs_option,call_premium_turnover_in_lacs,call_open_interest,call_change_in_oi,forward_open,forward_close,open_ul,high_ul,low_ul,close_ul,moneyness_open,moneyness_close,f_minus_k,otm_option_type,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,days_to_expiry,rf_rate,implied_volatility,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2022-07-01,2022-07-07,PE,15750,205.0,316.5,133.75,152.7,145.3,152.7,243279,1940344.21,24522.08,672400.0,293700.0,CE,155.05,173.0,82.85,152.85,165.6,152.85,617298,4898455.7,37233.95,834800.0,494200.0,15678.1,15750.15,15703.7,15793.95,15511.05,15752.05,-0.004576,1e-05,0.1499999999996362,PE,205.0,316.5,133.75,152.7,145.3,152.7,6,-0.0073381118444725,0.1896219982547093,0.0125476558289349,-0.0117641888142112,-0.4950540539561466,0.0010418991,-12.7291,8.0564,-130.68288676863463,0.000247515,0.1391,-0.0063
NIFTY,2022-07-01,2022-07-14,PE,15750,302.45,387.9,221.0,234.65,227.0,234.65,1543,12375.5,224.37,13800.0,-3600.0,CE,219.95,257.5,156.0,241.95,253.9,241.95,3038,24239.17,314.92,23300.0,12950.0,15648.0,15757.3,15703.7,15793.95,15511.05,15752.05,-0.006497,0.000463,7.299999999999272,PE,302.45,387.9,221.0,234.65,227.0,234.65,13,0.0093561972886097,0.200975314972839,0.0311816072949717,-0.0067470930814651,-0.4873999085246001,0.0006669672,-9.1659,11.8539,-281.8954211619567,0.0001338222,0.0423,-0.0124
NIFTY,2022-07-01,2022-07-21,PE,15750,342.25,410.6,292.0,306.9,298.35,306.9,63,507.39,11.26,1800.0,450.0,CE,274.0,325.65,224.95,311.0,322.1,311.0,84,673.23,11.73,1250.0,300.0,15661.75,15754.1,15703.7,15793.95,15511.05,15752.05,-0.005619,0.00026,4.100000000000364,PE,342.25,410.6,292.0,306.9,298.35,306.9,20,0.0023749331513272,0.2100709701694754,0.0298800725916823,-0.0192938220907966,-0.488017837745073,0.0005146731,-7.723,14.7035,-438.0921443077031,0.0003661946,0.0714,-0.0404
NIFTY,2022-07-01,2022-07-28,PE,15750,429.9,490.95,340.3,351.3,345.25,351.3,1859,15009.59,369.97,47800.0,5050.0,CE,336.95,376.55,257.65,358.5,371.8,358.5,2938,23609.43,472.68,41050.0,11100.0,15660.5,15757.2,15703.7,15793.95,15511.05,15752.05,-0.005699,0.000457,7.200000000000728,PE,429.9,490.95,340.3,351.3,345.25,351.3,27,0.00441904335967,0.2077124904077233,0.0363368364711307,-0.0201566089997419,-0.4853482085269299,0.0004477177,-6.5721,17.0803,-591.7088507149138,0.0003867553,0.0564,-0.0602
NIFTY,2022-07-07,2022-07-14,PE,16150,203.55,225.0,150.15,158.3,154.75,158.3,52999,432783.13,4816.2,348800.0,332550.0,CE,150.45,163.3,113.4,152.45,156.95,152.45,117649,958639.77,8624.1,730100.0,626000.0,16084.4,16144.15,16113.75,16150.5,16045.95,16132.9,-0.00407,-0.000362,-5.850000000000364,CE,150.45,163.3,113.4,152.45,156.95,152.45,7,0.0363482515664505,0.1742745172301781,-0.00294435067145,-0.0270787489893334,0.4984777708365002,0.0010231841,-11.1028,8.913,151.41191181592015,0.0006194413,-0.2633,0.0041
NIFTY,2022-07-07,2022-07-21,PE,16150,259.5,286.0,222.25,229.45,225.0,229.45,290,2377.88,36.13,5250.0,5050.0,CE,224.0,233.55,180.95,223.85,228.0,223.85,963,7880.8,104.58,17100.0,9650.0,16104.0,16144.4,16113.75,16150.5,16045.95,16132.9,-0.002852,-0.000347,-5.600000000000364,CE,224.0,233.55,180.95,223.85,228.0,223.85,14,0.0185778513852106,0.1797782920349051,0.0077545523074699,-0.0274545405412093,0.502735223497909,0.0007013112,-8.0987,12.6045,302.7263672554185,0.0006087857,-0.1333,-0.0149
NIFTY,2022-07-07,2022-07-28,PE,16150,314.6,342.0,271.3,279.15,271.3,279.15,3361,27650.92,510.85,32900.0,16000.0,CE,277.45,289.0,234.95,278.35,285.0,278.35,6904,56682.38,932.58,112550.0,56450.0,16104.75,16149.2,16113.75,16150.5,16045.95,16132.9,-0.002806,-5e-05,-0.7999999999992724,CE,277.45,289.0,234.95,278.35,285.0,278.35,21,0.01755211388887,0.1805725791973011,0.0205126351442457,-0.0228000408299691,0.5076698554392076,0.0005696579,-6.6426,15.4346,455.6776646732693,0.0005031112,-0.07,-0.04
NIFTY,2022-07-07,2022-08-04,PE,16150,488.0,488.0,488.0,488.0,488.0,488.0,1,8.32,0.24,50.0,50.0,CE,334.15,337.6,317.4,328.3,317.4,328.3,8,65.92,1.32,350.0,300.0,16105.85,16150.95,16113.75,16150.5,16045.95,16132.9,-0.002737,5.9e-05,0.9500000000007276,PE,488.0,488.0,488.0,488.0,488.0,488.0,28,0.0145766175579794,0.274100024915066,0.0387335416031479,-0.0371839165012366,-0.484009889957056,0.0003247573,-8.7284,17.8127,-637.1131946408178,0.0005401877,0.1036,-0.0936
NIFTY,2022-07-11,2022-07-14,PE,16200,153.0,173.9,93.45,111.0,119.0,111.0,1704577,13920248.56,113174.86,4638400.0,668050.0,CE,99.0,137.6,73.0,111.6,101.5,111.6,2582402,21044239.81,126783.61,5285750.0,965350.0,16143.75,16200.6,16136.15,16248.55,16115.5,16216.0,-0.003478,3.7e-05,0.6000000000003638,PE,153.0,173.9,93.45,111.0,119.0,111.0,3,-0.1155992181549335,0.1897950177657134,0.0107558088158844,-0.0064509472884208,-0.4961803480567927,0.0014324104,-18.5338,5.8647,-66.98162184454748,0.0001357176,0.0993,-0.0021
NIFTY,2022-07-11,2022-07-21,PE,16200,220.0,245.45,167.05,186.15,193.0,186.15,30765,252369.99,3173.49,295050.0,17700.0,CE,124.4,210.6,124.4,181.85,172.9,181.85,44493,364262.03,3868.73,376050.0,89350.0,16136.0,16195.7,16136.15,16248.55,16115.5,16216.0,-0.003958,-0.000265,-4.299999999999272,CE,124.4,210.6,124.4,181.85,172.9,181.85,10,-0.0457211498863016,0.1718124788013158,0.0048845492846692,-0.0235540545535984,0.502577797509835,0.0008672432,-9.1872,10.7078,218.020529035562,0.0005475955,-0.1947,-0.0072
